1094706289,06/04/2004,"Pharmazeutischer Briefwechsel : Akten der Jahrestagung der Schweizerischen Gesellschaft für Geschichte der Pharmazie, Einsiedeln, 4/5. September 1999",3952275808; 9783952275801,D16a
,,,,
1094723367,19/05/2005,"Botanique et pharmacie = Botanik und Pharmazie : Actes de la réunion de la Société suisse d'histoire de la pharmacie, Lausanne, 28 et 29 septembre 2002",3952275824; 9783952275825,D16a
,,,,
1094686403,25/11/2002,Der wahre Charakter des Apothekers : zur Geschichte der Heilberufe,3980706508; 9783980706506,D16a
,,,,
1094707285,07/04/2004,Practica de Johannes de Parma : un tratado farmacológico en sus versiones hebreas y catalana,8433829343; 9788433829344,D16a
,,,,
1094722504,23/02/2006,Historia general de las drogas : incluyendo el apéndice Fenomenología de las drogas,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
1096111405,11/10/2006,Las drogas en la prehistoria : evidencias arqueológicas del consumo de sustancias psicoactivas en Europa,8472903230; 9788472903234,D16a
,,,,
1094707576,17/03/2004,"La búsqueda del olvido : historia global de las drogas, 1500 - 2000",8475065996; 9788475065991; 9681670426; 9789681670429,D16a
,,,,
1094707245,21/04/2004,Entre la imitación y el plagio : fuentes e influencias en el Dioscórides de Andrés Laguna,8489711518; 9788489711518,D16a
,,,,
1094685045,24/02/2003,Umori e farmaci : terapia medica tardo-medievale : with an extended summary in english,888166173X; 9788881661732,D16a
,,,,
1094685364,09/01/2003,"Biographies of remedies : drugs, medicines and contraceptives in Dutch and Anglo-American healing cultures",9042015772; 9789042015777; 904201587X; 9789042015876,D16a
,,,,
1096115895,15/04/2008,Streptomyces in nature and medicine : the antibiotic makers,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
1096114552,10/01/2008,The first miracle drugs : how the sulfa drugs transformed medicine,9780195187755; 019518775X,D16a
,,,,
1096899770,16/12/2015,This man's pill : reflections on the 50th birthday of the pill,9780198508724; 0198508727,D16a
,,,,
1096113367,02/10/2007,Penicillin : triumph and tragedy,9780199254064; 0199254060,D16a
,,,,
1096115732,26/05/2008,Antimicrobial drugs : chronicle of a twentieth century medical triumph,9780199534845; 0199534845,D16a
,,,,
1096896758,27/05/2014,Bitter roots : the search for healing plants in Africa,9780226085524; 022608552X; 9780226086026; 022608602X,D16a
,,,,
1096898716,14/04/2015,Medical monopoly : intellectual property rights and the origins of the modern pharmaceutical industry,9780226108186; 022610818X,D16a
,,,,
1097426675,25/05/2016,Therapeutic revolutions : pharmaceuticals and social change in the twentieth century,,
,,,,
,,,,
,,,,
,,,,
,,,,
1096896250,19/12/2013,Ways of regulating drugs in the 19th and 20th centuries,9780230301962; 0230301967,D16a
,,,,
1096896494,26/02/2014,Race in a bottle : the story of BiDil and racialized medicine in a post-genomic age,9780231162982; 0231162987; 9780231531276; 0231531273,D16a
,,,,
RERO-15650266,08/05/2014,"The Ambonese herbal : being a description of the most noteworthy trees, shrubs, herbs, land- and water-plants which are found in Amboina and the surrounding islands according to their shape, various names, cultivation, and use : together with several insects and animals",9780300153705; 0300153708; 9780300153712; 0300153716; 9780300153729; 0300153724; 9780300153736; 0300153732; 9780300153743; 0300153740; 9780300153750; 0300153759; 9780300153767; 0300153767,D16a
,,,,
1096896019,13/12/2013,Opium : reality's dark dream,9780300175325; 0300175329,D16a
,,,,
1096896722,09/04/2014,Ethics and the pharmaceutical industry,9780521854962; 0521854962; 9780521708883; 0521708885,D16a
,,,,
1096624284,24/01/2013,The Alphabet of Galen : pharmacy from Antiquity to the middle ages : a critical edition of the Latin text with English translation and commentary,9780802095503; 080209550X,D16a
,,,,
1096895749,03/06/2013,Drugs for life : how pharmaceutical companies define our health,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
1097425410,02/06/2016,"The drug book : from arsenic to Xanax, 250 milestones in the history of drugs",9781402782640; 1402782640,D16a
,,,,
1096899993,30/11/2015,The antidote : inside the world of new pharma,9781451655667; 1451655665; 9781451655674; 1451655673; 9781451655698; 145165569X,D16a
,,,,
1096896246,07/11/2013,The quest for cortisone,9781611860337; 1611860334,D16a
,,,,
1097425078,18/04/2016,Pills & potions at the Cotter medical history trust,9781877578571; 1877578576,D16a
,,,,
1096620798,17/11/2011,Petite histoire des médicaments : de l'Antiquité à nos jours,9782100554218; 2100554212,D16a
,,,,
1096898074,23/01/2015,Anthropologie du médicament au sud : la pharmaceuticalisation à ses marges,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
1096623737,13/09/2012,"Traité des eaux artificielles, ou, Vertus des eaux et des herbes : le texte, ses sources et ses éditions : édition critique : une enquête lexicologique et bibliographique de 1483 à 1625",9782600015202; 2600015205,D16a
,,,,
1096898971,01/06/2015,"Dans l'atelier de l'apothicaire : histoire et archéologie des pots de pharmacie, XIIIe-XVIe siècle",9782708409491; 2708409492,D16a
,,,,
1096158375,09/12/2010,"Pharmacie et univers thérapeutique en Basse-Normandie et dans la vallée du Saint-Laurent au XVIIIe siècle : praticiens, organisations, pratiques : une étude comparative",9782729568719; 2729568719,D16a
,,,,
